CUSIP,Security Type,Security Term,Auction Date
912810UG1,Bond,29-Year 11-Month,2025-03-13
91282CMM0,Note,9-Year 11-Month,2025-03-12
91282CMS7,Note,3-Year,2025-03-11
912797NC7,Bill,6-Week,2025-03-11
912797LN5,Bill,13-Week,2025-03-10
912797PW1,Bill,26-Week,2025-03-10
912797NY9,Bill,4-Week,2025-03-06
912797PC5,Bill,8-Week,2025-03-06
912797PZ4,Bill,17-Week,2025-03-05
912797NR4,CMB,12-Day,2025-03-04
912797KS5,Bill,6-Week,2025-03-04
912797NP8,Bill,13-Week,2025-03-03
912797MH7,Bill,26-Week,2025-03-03
912797NT0,Bill,4-Week,2025-02-27
912797PB7,Bill,8-Week,2025-02-27
912797PU5,Bill,17-Week,2025-02-26
91282CMJ7,FRN Note,1-Year 11-Month,2025-02-26
91282CMR9,Note,7-Year,2025-02-26
91282CMQ1,Note,5-Year,2025-02-25
91282CGQ8,Note,5-Year,2025-02-25
912797NB9,Bill,6-Week,2025-02-25
91282CMP3,Note,2-Year,2025-02-24
912797NN3,Bill,13-Week,2025-02-24
912797PQ4,Bill,26-Week,2025-02-24
912810UH9,TIPS Bond,30-Year,2025-02-20
912797NS2,Bill,4-Week,2025-02-20
912797PA9,Bill,8-Week,2025-02-20
912810UJ5,Bond,20-Year,2025-02-19
912797PT8,Bill,17-Week,2025-02-19
912797MV6,Bill,6-Week,2025-02-18
912797NM5,Bill,13-Week,2025-02-18
912797PP6,Bill,26-Week,2025-02-18
912797PM3,Bill,52-Week,2025-02-18
912797NR4,Bill,4-Week,2025-02-13
912797NZ6,Bill,8-Week,2025-02-13
912810UG1,Bond,30-Year,2025-02-13
912797PS0,Bill,17-Week,2025-02-12
91282CMM0,Note,10-Year,2025-02-12
91282CMN8,Note,3-Year,2025-02-11
912797MU8,CMB,42-Day,2025-02-11
912797LB1,Bill,13-Week,2025-02-10
912797PN1,Bill,26-Week,2025-02-10
912797NQ6,Bill,4-Week,2025-02-06
912797NY9,Bill,8-Week,2025-02-06
912797PR2,Bill,17-Week,2025-02-05
912797KJ5,CMB,42-Day,2025-02-04
912797NE3,Bill,13-Week,2025-02-03
912797MG9,Bill,26-Week,2025-02-03
912797NK9,Bill,4-Week,2025-01-30
912797NT0,Bill,8-Week,2025-01-30
912797PL5,Bill,17-Week,2025-01-29
91282CMJ7,FRN Note,2-Year,2025-01-28
91282CMK4,Note,7-Year,2025-01-28
912797MT1,CMB,42-Day,2025-01-28
91282CMH1,Note,2-Year,2025-01-27
91282CMG3,Note,5-Year,2025-01-27
912797ND5,Bill,13-Week,2025-01-27
912797PG6,Bill,26-Week,2025-01-27
91282CML2,TIPS Note,10-Year,2025-01-23
912797NJ2,Bill,4-Week,2025-01-23
912797NS2,Bill,8-Week,2025-01-23
912810UF3,Bond,19-Year 10-Month,2025-01-22
912797PK7,Bill,17-Week,2025-01-22
912797NJ2,CMB,33-Day,2025-01-22
912797MM6,CMB,42-Day,2025-01-21
912797NC7,Bill,13-Week,2025-01-21
912797PF8,Bill,26-Week,2025-01-21
912797PD3,Bill,52-Week,2025-01-21
912797NH6,Bill,4-Week,2025-01-16
912797NR4,Bill,8-Week,2025-01-16
912797PJ0,Bill,17-Week,2025-01-15
912797ML8,CMB,42-Day,2025-01-14
912797KS5,Bill,13-Week,2025-01-13
912797PE1,Bill,26-Week,2025-01-13
912797NG8,Bill,4-Week,2025-01-09
912797NQ6,Bill,8-Week,2025-01-09
912810UE6,Bond,29-Year 10-Month,2025-01-08
912797PH4,Bill,17-Week,2025-01-08
91282CLW9,Note,9-Year 10-Month,2025-01-07
912797KA4,CMB,42-Day,2025-01-07
91282CMF5,Note,3-Year,2025-01-06
912797NB9,Bill,13-Week,2025-01-06
912797LW5,Bill,26-Week,2025-01-06
912797NF0,Bill,4-Week,2025-01-02
912797NK9,Bill,8-Week,2025-01-02
