Dates,SPX Index,NDX Index
11/1/2022,3856.1,11288.95
11/2/2022,3759.69,10906.34
11/3/2022,3719.89,10690.6
11/4/2022,3770.55,10857.03
11/7/2022,3806.8,10977
11/8/2022,3828.11,11059.5
11/9/2022,3748.57,10797.55
11/10/2022,3956.37,11605.96
11/11/2022,3992.93,11817.01
11/14/2022,3957.25,11700.94
11/15/2022,3991.73,11871.15
11/16/2022,3958.79,11699.09
11/17/2022,3946.56,11676.86
11/18/2022,3965.34,11677.02
11/21/2022,3949.94,11553.45
11/22/2022,4003.58,11724.84
11/23/2022,4027.26,11838.72
11/24/2022,4027.26,11838.72
11/25/2022,4026.12,11756.03
11/28/2022,3963.94,11587.75
11/29/2022,3957.63,11503.45
11/30/2022,4080.11,12030.06
12/1/2022,4076.57,12041.89
12/2/2022,4071.7,11994.26
12/5/2022,3998.84,11786.8
12/6/2022,3941.26,11549.69
12/7/2022,3933.92,11497.39
12/8/2022,3963.51,11637.5
12/9/2022,3934.38,11563.33
12/12/2022,3990.56,11706.44
12/13/2022,4019.65,11834.21
12/14/2022,3995.32,11740.92
12/15/2022,3895.75,11345.22
12/16/2022,3852.36,11243.72
12/19/2022,3817.66,11084.59
12/20/2022,3821.62,11072.42
12/21/2022,3878.44,11235.88
12/22/2022,3822.39,10956.14
12/23/2022,3844.82,10985.45
12/26/2022,3844.82,10985.45
12/27/2022,3829.25,10822.51
12/28/2022,3783.22,10679.34
12/29/2022,3849.28,10951.05
12/30/2022,3839.5,10939.76
1/2/2023,3839.5,10939.76
1/3/2023,3824.14,10862.64
1/4/2023,3852.97,10914.8
1/5/2023,3808.1,10741.22
1/6/2023,3895.08,11040.35
1/9/2023,3892.09,11108.45
1/10/2023,3919.25,11205.78
1/11/2023,3969.61,11402.52
1/12/2023,3983.17,11459.61
1/13/2023,3999.09,11541.48
1/16/2023,3999.09,11541.48
1/17/2023,3990.97,11557.19
1/18/2023,3928.86,11410.29
1/19/2023,3898.85,11295.67
1/20/2023,3972.61,11619.03
1/23/2023,4019.81,11872.54
1/24/2023,4016.95,11846.64
1/25/2023,4016.22,11814.69
1/26/2023,4060.43,12051.48
1/27/2023,4070.56,12166.6
1/30/2023,4017.77,11912.39
1/31/2023,4076.6,12101.93
2/1/2023,4119.21,12363.1
2/2/2023,4179.76,12803.14
2/3/2023,4136.48,12573.36
2/6/2023,4111.08,12464.51
2/7/2023,4164,12728.27
2/8/2023,4117.86,12495.38
2/9/2023,4081.5,12381.17
2/10/2023,4090.46,12304.92
2/13/2023,4137.29,12502.31
